topic,content,date,section,company,url
Museums should strive to block the path of pest infestation.,"Pests are a concern for collection preservation and a health risk, and both issues must be addressed by a facilities
management plan. Pest management starts with good housekeeping, so the museum’s overall custodial staff must be
considered part of the pest management team. A program should be established that looks for likely invasion routes of
pests into a museum facility and takes steps to prevent use of these routes. Efforts should be made to prevent pests from
entering the museum building at points such as visitor entrances, service entrances, air intake points, food facilities,
windows, and cracks and breaks in the building. Housekeeping should be concentrated at these points of entry.",201610,opinion,CSAT,UNK
"embarrassed, touched","It was a long day, which included picking up my teenager. On our way home, we stopped at the local grocery store to
get some fruits and vegetables. After unloading our cart at the checkout I realized that my wallet was not in my purse. I
didn’t know what to do. Without any hesitation, the lady in front of me said, “Put it through, I’ll take care of it.” I hesitated
and hesitated, but she insisted. I asked about how to pay her back and she said I could leave it with the staff in an
envelope for “Ann from The Crimson Company.” She didn’t ask for my name or phone number—not a thing. For my son
and me, it was a lovely gift to start off the new year. She reminded me that life is too short to not lend a helping hand when
the opportunity arises.",201610,atmosphere,CSAT,UNK
Pets increase the friendly social identity accompanying people,"In England, Dr. Peter Messent followed people on their walks through city parks and found that people with dogs were
much more likely to be engaged in conversation than people who were walking alone. People with pets were even more
approachable than mothers with small infants. The same kind of results were observed in another study, by Randall
Lockwood. He showed subjects a series of relatively ambiguous pictures of people in a variety of common social settings.
There were two similar sets of pictures: in one there were only people, and in the other there was a pet with one of the
people in each scene. The subjects were asked to rate each of the people in the pictures according to several scales. The
results were predictable. People with pets were perceived as being more socially attractive and as having more desirable
personal characteristics. Pets changed the people’s social identity for the better.",201610,topic,CSAT,UNK
positive effects of immigration on the host country,"Not just information but also people may move between societies, taking their knowledge and cultural practices with
them. Like war, migration is an ancient phenomenon and very common throughout history. Although it is often regarded
with suspicion, immigration tends to confer benefits on the host group. In recent history, countries with the highest net
inward migration have also had the highest growth rates, the two factors clearly being linked in harmony. The complaint
that immigrants take people’s jobs is, like similar complaints about technology, based on an erroneously static view of the
world. In fact, immigrants increase the size of the market and thus create jobs. Furthermore, they arrive as already
productive adults having never been dependent on the host country. They also tend to be motivated and intelligent
individuals with a talent for the creation of economic organization.",201610,topic,CSAT,UNK
Keep on Learning to Stay Productive,"If you ever tried to cut wood with a blunt, dull axe, you know how much effort it takes to succeed. But as soon as the
blade is filed sharp, the work can proceed with much less exertion. The secret lies in knowing when to stop and sharpen
the blade. The same principles hold true for work. If you are stuck in a pattern of doing the same things every day and you
feel as though you are becoming dull, perhaps it is time to stop and sharpen your axe. Sign up for a business seminar,
read business books or magazines or attend a trade show. Take decisive action to restore a sharp edge to your
productivity. This is the very reason professionals such as accountants, lawyers and nurses are required to continuously
learn what’s new in the profession in order to remain uptodate and useful in their professions. Stay motivated and accept
no excuses for not increasing your efficiency and effectiveness.",201610,topic,CSAT,UNK
Authenticity is one of the keys to leadership effectiveness,"We want realness in the executive suite, in the superintendent’s office, and
in our religious leaders. We yearn for leaders who are themselves rather than a copy of someone else. We want leaders
who will be fully human with us, men and women who are vulnerable enough to acknowledge their strengths and
weaknesses, their gifts and limits, and who are appropriately transparent about their hopes and fears, their motivations
and their agendas. We trust leaders who are real, who walk their talk, who act on their core values, and who tell us the
truth. We authorize others to lead who author their own life. Those we deem not trustworthy we don’t authorize to lead.",201610,blank,CSAT,UNK
"Whenever you feel stuck, spiritually dry, or just plain gloomy, take time to remind yourself that change is on its way","Life is rhythmic, cyclical, and always evolving. It’s difficult not to notice repetition and renewal going on all around you.
Just as darkness comes at the end of each day, so also comes the dawn to spread light across the land. Just as plants
must die at the end of their life cycle, the seeds they have produced will emerge as new plants in the spring.
Understanding the cyclical nature of life will reassure you that difficult times won’t last forever, and you will feel joy and
happiness again. The rough times must be endured and taken as they come, but they are not constant, nor do they last
forever. There will always be good times and bad, feasts and famines, hot summers and cold winters. ",201610,blank,CSAT,UNK
"We tend to not only base new inventions on old, but also explain and try to understand new inventions
in terms of what we already know.","Technology is the basis of many of our metaphors and is important in terms of how we think and how our ideas progress.
The use of metaphor and the process of design and the evolution of science and technology are cyclic in the sense that
metaphors help to shape technology, and new technology leads to new metaphors. Major changes arise periodically, such
as moving from horsedrawn carriages to motordriven vehicles. The initial description of the latter is naturally metaphorical, as in the term “horseless carriage.” The association with the previous technology is both verbal and visual.
The early designs of such vehicles show visual evidence of the metaphor, as they retained much of the appearance of
horsedrawn carriages. The horsedrawn carriage was itself a technological innovation, as were the horseless carriage and
later automobiles. ",201610,blank,CSAT,UNK
"As environmentalist Rupert Cutler once noted, “Asphalt is the land’s last crop"".","As the new century begins, the competition between cars and crops for cropland is intensifying. Until now, the paving
over of cropland has occurred largely in industrial countries, home to four fifths of the world’s 520 million automobiles. But
now, more and more farmland is being sacrificed in developing countries with hungry populations, calling into question the
future role of the car. Millions of hectares of cropland in the industrial world have been paved over for roads and parking
lots. Each U.S. car, for example, requires on average 0.07 hectares of paved land for roads and parking space. For every
five cars added to the total number of cars in the U.S., an area the size of a football field is covered with asphalt. More
often than not, cropland is paved simply because the flat, welldrained soils that are well suited for farming are also ideal
for building roads. Once paved, land is not easily reclaimed. ",201610,blank,CSAT,UNK
"High language densities found in the tropics can hinder contact
between communities and thus prevent infection from spreading.","The fact that dreaded diseases are more common in the
tropics than at higher latitudes may in part explain a curious

feature of how languages are distributed: near the equator,
language densities (the number of languages per unit area) are
much higher, and language communities (the number of people
speaking a given language) very much smaller, than they are at
higher latitudes. One explanation for this might be that it is a
culturally evolved strategy to reduce the risk of crossinfection in
areas where pathogens are more densely concentrated.
Language barriers significantly reduce the opportunities for
contact between different populations, thus minimizing the risk
of contamination. Creating smaller, more inwardlooking,
xenophobic societies may thus help to reduce exposure to
diseases to which one has no natural immunity.",201610,topic,CSAT,UNK
