단어,순서,비율(%)
one,1,0.7473
people,2,0.6417
time,3,0.4832
would,4,0.4615
may,5,0.3299
new,6,0.3277
life,7,0.3263
many,8,0.3234
even,9,0.28
way,10,0.2756
like,11,0.2756
make,12,0.2648
first,13,0.2619
could,14,0.2583
also,15,0.2517
world,16,0.2394
us,17,0.2329
however,18,0.2214
work,19,0.2214
two,20,0.2199
said,21,0.2177
day,22,0.2156
much,23,0.2069
use,24,0.2062
get,25,0.2047
good,26,0.2033
see,27,0.2011
years,28,0.1989
example,29,0.1982
often,30,0.1874
person,31,0.1801
well,32,0.1794
students,33,0.1751
think,34,0.1743
children,35,0.1736
different,36,0.1729
school,37,0.17
things,38,0.17
made,39,0.1686
information,40,0.1686
know,41,0.1671
others,42,0.1628
long,43,0.1577
take,44,0.1563
might,45,0.1555
become,46,0.1519
need,47,0.1519
important,48,0.1461
another,49,0.1454
something,50,0.1447
back,51,0.144
want,52,0.1418
experience,53,0.1396
best,54,0.1382
better,55,0.1374
must,56,0.1374
music,57,0.136
feel,58,0.1346
water,59,0.1346
found,60,0.1338
year,61,0.1324
help,62,0.1317
less,63,0.1317
every,64,0.1295
number,65,0.1273
food,66,0.1266
human,67,0.1259
never,68,0.1259
great,69,0.1259
say,70,0.1223
little,71,0.1223
used,72,0.1215
find,73,0.1215
always,74,0.1215
species,75,0.1208
go,76,0.1201
old,77,0.1186
without,78,0.1179
asked,79,0.1172
around,80,0.1157
high,81,0.1157
change,82,0.115
three,83,0.1129
look,84,0.1085
times,85,0.1071
social,86,0.1063
fact,87,0.1063
away,88,0.1063
home,89,0.1056
science,90,0.1042
still,91,0.1042
group,92,0.1042
problem,93,0.1034
child,94,0.1013
lives,95,0.1013
words,96,0.0991
later,97,0.0984
today,98,0.0984
small,99,0.0977
self,100,0.0962
right,101,0.0955
play,102,0.0955
called,103,0.0955
thought,104,0.0948
come,105,0.0948
making,106,0.0948
family,107,0.094
took,108,0.0933
place,109,0.0933
mother,110,0.0933
study,111,0.0926
someone,112,0.0919
art,113,0.0911
age,114,0.0904
put,115,0.0904
knowledge,116,0.0897
going,117,0.0897
large,118,0.089
part,119,0.089
began,120,0.089
man,121,0.089
came,122,0.089
although,123,0.0883
hand,124,0.0883
process,125,0.0875
groups,126,0.0875
since,127,0.0861
became,128,0.0861
able,129,0.0854
rather,130,0.0854
result,131,0.0854
told,132,0.0854
last,133,0.0846
point,134,0.0839
mind,135,0.0839
sometimes,136,0.0839
past,137,0.0832
whether,138,0.0832
live,139,0.0817
nature,140,0.0817
together,141,0.0817
young,142,0.0803
among,143,0.0796
sense,144,0.0796
second,145,0.0796
end,146,0.0789
give,147,0.0781
possible,148,0.0781
value,149,0.0774
believe,150,0.0774
behavior,151,0.0774
thus,152,0.0767
keep,153,0.0767
friend,154,0.0767
parents,155,0.0767
set,156,0.076
ideas,157,0.076
certain,158,0.076
went,159,0.076
far,160,0.076
really,161,0.076
future,162,0.0752
father,163,0.0752
learn,164,0.0745
attention,165,0.0745
true,166,0.0745
likely,167,0.0738
looking,168,0.0738
ways,169,0.0731
brain,170,0.0731
read,171,0.0723
try,172,0.0723
thinking,173,0.0723
within,174,0.0723
tell,175,0.0716
problems,176,0.0716
understand,177,0.0716
five,178,0.0716
friends,179,0.0716
class,180,0.0716
energy,181,0.0709
let,182,0.0709
instead,183,0.0709
next,184,0.0702
therefore,185,0.0702
b,186,0.0702
animals,187,0.0702
though,188,0.0694
actually,189,0.0694
book,190,0.0687
show,191,0.0687
left,192,0.068
members,193,0.0673
moment,194,0.0673
hard,195,0.0673
seen,196,0.0673
percent,197,0.0673
control,198,0.0666
public,199,0.0666
performance,200,0.0666
thing,201,0.0666
simply,202,0.0658
working,203,0.0658
free,204,0.0658
reading,205,0.0658
natural,206,0.0651
century,207,0.0651
difficult,208,0.0651
individuals,209,0.0651
course,210,0.0651
society,211,0.0651
means,212,0.0651
early,213,0.0651
hours,214,0.0651
house,215,0.0644
story,216,0.0644
body,217,0.0644
real,218,0.0637
given,219,0.0637
form,220,0.0629
started,221,0.0629
toward,222,0.0629
modern,223,0.0629
days,224,0.0629
writing,225,0.0622
positive,226,0.0622
nothing,227,0.0622
system,228,0.0615
room,229,0.0615
order,230,0.0615
known,231,0.0608
almost,232,0.0608
living,233,0.0608
humans,234,0.06
usually,235,0.06
everything,236,0.06
move,237,0.06
learned,238,0.06
results,239,0.0593
everyone,240,0.0593
business,241,0.0593
ever,242,0.0586
individual,243,0.0586
light,244,0.0586
money,245,0.0586
research,246,0.0579
scientists,247,0.0579
probably,248,0.0579
start,249,0.0579
reason,250,0.0571
quickly,251,0.0571
seem,252,0.0571
looked,253,0.0571
according,254,0.0564
makes,255,0.0564
love,256,0.0564
environment,257,0.0564
activity,258,0.0564
already,259,0.0564
tend,260,0.0557
enough,261,0.0557
soon,262,0.0557
role,263,0.0557
company,264,0.0557
whole,265,0.0557
idea,266,0.0557
close,267,0.055
works,268,0.055
big,269,0.055
knew,270,0.055
countries,271,0.055
basic,272,0.0543
land,273,0.0543
power,274,0.0535
remember,275,0.0535
longer,276,0.0535
local,277,0.0535
night,278,0.0535
eyes,279,0.0535
several,280,0.0535
culture,281,0.0528
four,282,0.0528
car,283,0.0528
taking,284,0.0528
books,285,0.0528
sea,286,0.0521
done,287,0.0521
along,288,0.0521
