단어,순서,비율(%)
the,1,5.1077
to,2,2.9491
of,3,2.8806
and,4,2.4659
a,5,2.3036
in,6,1.7052
that,7,1.3619
is,8,1.256
for,9,0.7747
you,10,0.7478
it,11,0.7354
was,12,0.6827
are,13,0.6767
I,14,0.655
as,15,0.6326
on,16,0.5993
with,17,0.5933
The,18,0.5915
be,19,0.5649
not,20,0.5249
they,21,0.5122
or,22,0.5058
s,23,0.5013
have,24,0.4912
their,25,0.4392
from,26,0.4224
we,27,0.4179
can,28,0.3992
by,29,0.3947
at,30,0.3947
an,31,0.3656
he,32,0.3603
more,33,0.3596
his,34,0.348
your,35,0.345
this,36,0.3338
one,37,0.3274
will,38,0.3031
but,39,0.3005
people,40,0.2983
had,41,0.2863
our,42,0.2822
were,43,0.2646
about,44,0.2642
when,45,0.2612
t,46,0.2523
all,47,0.2519
In,48,0.2493
what,49,0.2489
It,50,0.2474
her,51,0.2463
time,52,0.2429
than,53,0.2369
would,54,0.235
who,55,0.2302
my,56,0.2264
do,57,0.2164
has,58,0.2126
them,59,0.2126
other,60,0.2119
which,61,0.1973
so,62,0.1958
up,63,0.1883
out,64,0.1868
she,65,0.1816
may,66,0.1666
life,67,0.1644
into,68,0.1588
only,69,0.1584
if,70,0.155
This,71,0.1502
some,72,0.1494
new,73,0.1494
there,74,0.149
no,75,0.1475
been,76,0.1449
how,77,0.1427
way,78,0.1423
its,79,0.1423
When,80,0.1408
most,81,0.1397
He,82,0.1397
But,83,0.1367
A,84,0.1363
like,85,0.1359
make,86,0.1344
could,87,0.1326
first,88,0.13
me,89,0.1296
many,90,0.1281
him,91,0.1281
We,92,0.1277
also,93,0.1262
same,94,0.1184
world,95,0.118
such,96,0.1176
us,97,0.1172
because,98,0.1169
over,99,0.1165
these,100,0.1165
work,101,0.1146
They,102,0.1143
just,103,0.1139
even,104,0.1124
said,105,0.1124
For,106,0.112
If,107,0.1113
day,108,0.1094
two,109,0.1094
use,110,0.1049
much,111,0.1045
get,112,0.1038
You,113,0.103
example,114,0.1027
years,115,0.1027
see,116,0.1015
good,117,0.0985
own,118,0.0974
As,119,0.097
very,120,0.0956
should,121,0.0933
those,122,0.0933
then,123,0.0926
each,124,0.0918
through,125,0.0914
often,126,0.0911
person,127,0.0911
being,128,0.0896
made,129,0.0873
different,130,0.0873
things,131,0.0873
students,132,0.087
know,133,0.0862
information,134,0.0858
where,135,0.0855
think,136,0.0843
school,137,0.0832
well,138,0.0813
did,139,0.081
long,140,0.081
children,141,0.0806
might,142,0.0802
others,143,0.0795
down,144,0.0795
become,145,0.0787
need,146,0.0787
take,147,0.0783
any,148,0.0776
important,149,0.0754
something,150,0.0742
back,151,0.0731
between,152,0.0724
too,153,0.072
want,154,0.0716
better,155,0.0712
must,156,0.0712
another,157,0.0697
feel,158,0.0694
found,159,0.0694
best,160,0.069
She,161,0.069
after,162,0.0686
experience,163,0.0686
water,164,0.0686
less,165,0.0683
help,166,0.0679
music,167,0.0679
year,168,0.0671
don,169,0.0668
before,170,0.0664
number,171,0.0656
never,172,0.0634
now,173,0.063
say,174,0.063
What,175,0.063
food,176,0.063
used,177,0.063
species,178,0.0626
always,179,0.0626
while,180,0.0623
find,181,0.0619
little,182,0.0615
great,183,0.0611
However,184,0.0611
go,185,0.0611
both,186,0.0608
human,187,0.0604
old,188,0.06
does,189,0.06
asked,190,0.06
change,191,0.0589
One,192,0.0589
There,193,0.0589
And,194,0.0582
around,195,0.0578
three,196,0.0559
without,197,0.0555
fact,198,0.0552
away,199,0.0548
high,200,0.0548
home,201,0.0544
times,202,0.054
every,203,0.0537
group,204,0.0537
however,205,0.0533
problem,206,0.0529
look,207,0.0529
social,208,0.0525
child,209,0.0525
off,210,0.0518
still,211,0.0514
lives,212,0.051
At,213,0.0507
few,214,0.0507
That,215,0.0499
words,216,0.0499
play,217,0.0496
called,218,0.0496
thought,219,0.0492
re,220,0.0492
m,221,0.0488
family,222,0.0488
took,223,0.0484
small,224,0.0481
making,225,0.0481
study,226,0.0481
self,227,0.0481
someone,228,0.0477
science,229,0.0473
Some,230,0.0473
So,231,0.0473
right,232,0.0469
To,233,0.0469
mother,234,0.0469
going,235,0.0466
began,236,0.0462
came,237,0.0462
come,238,0.0458
put,239,0.0458
man,240,0.0458
process,241,0.0454
hand,242,0.0454
knowledge,243,0.0451
place,244,0.0447
became,245,0.0447
large,246,0.0443
result,247,0.0443
part,248,0.0443
age,249,0.0443
told,250,0.0443
later,251,0.0439
able,252,0.0439
art,253,0.0439
point,254,0.0436
mind,255,0.0436
past,256,0.0432
during,257,0.0428
last,258,0.0424
live,259,0.0424
After,260,0.0424
themselves,261,0.0421
groups,262,0.0417
why,263,0.0413
sense,264,0.0413
together,265,0.0413
give,266,0.0406
possible,267,0.0406
end,268,0.0402
behavior,269,0.0402
value,270,0.0398
today,271,0.0398
friend,272,0.0398
set,273,0.0395
second,274,0.0395
went,275,0.0395
far,276,0.0395
Many,277,0.0391
doing,278,0.0391
ideas,279,0.0391
believe,280,0.0391
Then,281,0.0387
learn,282,0.0383
likely,283,0.0383
attention,284,0.0383
ways,285,0.038
future,286,0.038
brain,287,0.038
really,288,0.038
father,289,0.038
rather,290,0.0376
These,291,0.0376
thinking,292,0.0372
tell,293,0.0372
nature,294,0.0372
understand,295,0.0372
class,296,0.0372
certain,297,0.0368
five,298,0.0368
friends,299,0.0368
young,300,0.0368
problems,301,0.0365
keep,302,0.0365
On,303,0.0361
read,304,0.0357
true,305,0.0357
parents,306,0.0357
energy,307,0.0353
again,308,0.0353
until,309,0.0353
My,310,0.0353
within,311,0.0353
moment,312,0.035
book,313,0.035
Although,314,0.035
hard,315,0.035
seen,316,0.035
whether,317,0.035
percent,318,0.035
himself,319,0.0346
didn,320,0.0346
thing,321,0.0346
left,322,0.0346
show,323,0.0346
control,324,0.0342
next,325,0.0342
animals,326,0.0342
century,327,0.0338
difficult,328,0.0338
means,329,0.0338
looking,330,0.0335
public,331,0.0335
performance,332,0.0335
People,333,0.0335
real,334,0.0331
actually,335,0.0331
story,336,0.0331
once,337,0.0331
body,338,0.0331
natural,339,0.0327
among,340,0.0327
form,341,0.0327
try,342,0.0327
started,343,0.0327
Even,344,0.0323
course,345,0.0323
society,346,0.0323
members,347,0.032
system,348,0.032
working,349,0.032
positive,350,0.032
toward,351,0.032
room,352,0.032
hours,353,0.032
days,354,0.032
reading,355,0.032
having,356,0.0316
With,357,0.0316
simply,358,0.0312
yourself,359,0.0312
move,360,0.0312
order,361,0.0312
learned,362,0.0312
known,363,0.0309
results,364,0.0309
since,365,0.0309
usually,366,0.0309
early,367,0.0309
though,368,0.0301
free,369,0.0301
house,370,0.0301
While,371,0.0301
writing,372,0.0301
money,373,0.0301
ever,374,0.0297
reason,375,0.0297
individuals,376,0.0297
individual,377,0.0297
sometimes,378,0.0297
seem,379,0.0297
light,380,0.0297
given,381,0.0297
living,382,0.0297
looked,383,0.0297
ll,384,0.0294
makes,385,0.0294
environment,386,0.0294
activity,387,0.0294
already,388,0.0294
B,389,0.0294
business,390,0.0294
start,391,0.0294
tend,392,0.029
enough,393,0.029
almost,394,0.029
probably,395,0.029
idea,396,0.029
quickly,397,0.0286
love,398,0.0286
role,399,0.0286
modern,400,0.0286
knew,401,0.0286
Why,402,0.0282
company,403,0.0282
works,404,0.0282
countries,405,0.0282
All,406,0.0282
land,407,0.0282
ve,408,0.0279
longer,409,0.0279
whole,410,0.0279
eyes,411,0.0279
above,412,0.0279
close,413,0.0275
under,414,0.0275
power,415,0.0271
humans,416,0.0271
done,417,0.0271
culture,418,0.0271
saw,419,0.0271
increase,420,0.0271
wrong,421,0.0271
game,422,0.0271
skills,423,0.0271
plants,424,0.0271
negative,425,0.0267
four,426,0.0267
night,427,0.0267
big,428,0.0267
car,429,0.0267
higher,430,0.0267
air,431,0.0267
areas,432,0.0264
changes,433,0.0264
needs,434,0.0264
along,435,0.0264
experiences,436,0.0264
terms,437,0.0264
research,438,0.0264
felt,439,0.0264
else,440,0.0264
books,441,0.0264
head,442,0.0264
teacher,443,0.0264
word,444,0.026
based,445,0.026
physical,446,0.026
kind,447,0.026
feelings,448,0.026
local,449,0.026
using,450,0.026
similar,451,0.026
trees,452,0.026
job,453,0.026
simple,454,0.0256
basic,455,0.0256
here,456,0.0256
product,457,0.0256
everything,458,0.0256
face,459,0.0256
birds,460,0.0256
let,461,0.0256
across,462,0.0252
create,463,0.0252
cultural,464,0.0252
turn,465,0.0252
type,466,0.0252
average,467,0.0252
trying,468,0.0252
team,469,0.0252
fear,470,0.0252
least,471,0.0252
full,472,0.0252
personal,473,0.0249
Our,474,0.0249
area,475,0.0249
case,476,0.0249
seems,477,0.0249
nothing,478,0.0249
hear,479,0.0249
alone,480,0.0249
open,481,0.0249
situation,482,0.0245
itself,483,0.0245
growth,484,0.0245
sound,485,0.0245
evidence,486,0.0245
rate,487,0.0245
shows,488,0.0245
am,489,0.0245
effect,490,0.0241
heard,491,0.0241
success,492,0.0241
view,493,0.0241
strong,494,0.0241
remember,495,0.0241
developed,496,0.0241
percentage,497,0.0241
amount,498,0.0241
special,499,0.0241
emotions,500,0.0241
feeling,501,0.0241
matter,502,0.0241
Most,503,0.0241
several,504,0.0241
learning,505,0.0241
d,506,0.0241
got,507,0.0241
By,508,0.0237
products,509,0.0237
develop,510,0.0237
provide,511,0.0237
coffee,512,0.0234
soon,513,0.0234
common,514,0.0234
run,515,0.0234
getting,516,0.0234
lot,517,0.0234
won,518,0.0234
present,519,0.023
scientific,520,0.023
therefore,521,0.023
ask,522,0.023
response,523,0.023
top,524,0.023
says,525,0.023
ago,526,0.0226
focus,527,0.0226
offer,528,0.0226
scientists,529,0.0226
space,530,0.0226
His,531,0.0226
news,532,0.0223
bad,533,0.0223
How,534,0.0223
larger,535,0.0223
lost,536,0.0223
spent,537,0.0223
line,538,0.0223
No,539,0.0223
everyone,540,0.0223
act,541,0.0223
half,542,0.0223
sports,543,0.0223
eat,544,0.0223
Thus,545,0.0219
major,546,0.0219
language,547,0.0219
Your,548,0.0219
country,549,0.0219
produce,550,0.0219
technology,551,0.0219
pay,552,0.0219
gave,553,0.0219
begin,554,0.0215
step,555,0.0215
taking,556,0.0215
short,557,0.0215
decided,558,0.0215
health,559,0.0215
feet,560,0.0215
answer,561,0.0211
period,562,0.0211
side,563,0.0211
wanted,564,0.0211
fish,565,0.0211
enjoy,566,0.0211
tree,567,0.0211
taste,568,0.0211
emotional,569,0.0208
particular,570,0.0208
An,571,0.0208
name,572,0.0208
city,573,0.0208
ability,574,0.0204
easily,575,0.0204
essential,576,0.0204
write,577,0.0204
activities,578,0.0204
researchers,579,0.0204
becomes,580,0.0204
cause,581,0.0204
American,582,0.0204
smaller,583,0.0204
easy,584,0.0204
understanding,585,0.0204
sure,586,0.0204
interest,587,0.0204
taken,588,0.0204
happy,589,0.0204
front,590,0.0204
deep,591,0.0204
S,592,0.0204
teachers,593,0.0204
specific,594,0.02
quality,595,0.02
population,596,0.02
happen,597,0.02
call,598,0.02
beyond,599,0.02
term,600,0.02
size,601,0.02
New,602,0.02
bring,603,0.02
care,604,0.02
Andrew,605,0.02
e,606,0.0196
support,607,0.0196
th,608,0.0196
takes,609,0.0196
further,610,0.0196
thoughts,611,0.0196
instead,612,0.0196
decision,613,0.0196
dream,614,0.0196
question,615,0.0196
seemed,616,0.0196
week,617,0.0193
anything,618,0.0193
United,619,0.0193
discovered,620,0.0193
reality,621,0.0193
store,622,0.0193
women,623,0.0193
myself,624,0.0193
events,625,0.0189
Now,626,0.0189
relationship,627,0.0189
buy,628,0.0189
ten,629,0.0189
beautiful,630,0.0189
outside,631,0.0189
eating,632,0.0189
expected,633,0.0189
talk,634,0.0189
morning,635,0.0189
boy,636,0.0189
son,637,0.0189
flowers,638,0.0189
piano,639,0.0189
comes,640,0.0185
particularly,641,0.0185
cost,642,0.0185
changed,643,0.0185
hope,644,0.0185
increased,645,0.0185
studies,646,0.0185
doesn,647,0.0185
necessary,648,0.0185
direct,649,0.0185
saying,650,0.0185
door,651,0.0185
against,652,0.0185
cream,653,0.0185
tried,654,0.0185
talking,655,0.0181
societies,656,0.0181
available,657,0.0181
ourselves,658,0.0181
moral,659,0.0181
meaning,660,0.0181
According,661,0.0181
considered,662,0.0181
education,663,0.0181
couldn,664,0.0181
stop,665,0.0181
upon,666,0.0181
student,667,0.0181
worked,668,0.0181
either,669,0.0178
thus,670,0.0178
environmental,671,0.0178
especially,672,0.0178
States,673,0.0178
choice,674,0.0178
voice,675,0.0178
eye,676,0.0178
chance,677,0.0178
following,678,0.0178
paper,679,0.0178
months,680,0.0178
college,681,0.0178
Sally,682,0.0178
Europe,683,0.0174
recognize,684,0.0174
distance,685,0.0174
sea,686,0.0174
spend,687,0.0174
accept,688,0.0174
late,689,0.0174
held,690,0.0174
non,691,0.0174
hour,692,0.0174
types,693,0.0174
event,694,0.017
mental,695,0.017
Instead,696,0.017
sounds,697,0.017
access,698,0.017
ball,699,0.017
showed,700,0.017
turned,701,0.017
moving,702,0.017
program,703,0.017
including,704,0.0166
isn,705,0.0166
grow,706,0.0166
communication,707,0.0166
meet,708,0.0166
men,709,0.0166
hold,710,0.0166
poor,711,0.0166
objects,712,0.0166
range,713,0.0166
hit,714,0.0166
share,715,0.0166
state,716,0.0166
quite,717,0.0166
per,718,0.0166
piece,719,0.0163
